date,temperatureC,weather
2003-12-12,10.52142857142857,Overcast
2003-12-13,14.049999999999995,Mostly Cloudy
2003-12-14,10.846428571428572,Partly Cloudy
2003-12-15,8.945833333333331,Mostly Cloudy
2003-12-16,9.154166666666665,Mostly Cloudy
2003-12-17,10.395833333333332,Mostly Cloudy
2003-12-18,10.941666666666668,Mostly Cloudy
2003-12-19,10.675999999999998,Mostly Cloudy
2003-12-20,11.834374999999998,Mostly Cloudy
2003-12-21,11.800000000000006,Overcast
2003-12-22,11.054166666666667,Mostly Cloudy
2003-12-23,12.411111111111113,Overcast
2003-12-24,13.353124999999997,Light Rain
2003-12-25,10.242307692307692,Partly Cloudy
2003-12-26,8.808695652173911,Partly Cloudy
2003-12-27,6.604166666666667,Partly Cloudy
2003-12-28,7.213043478260871,Mostly Cloudy
2003-12-29,11.175510204081636,Light Rain
2003-12-30,9.751851851851852,Mostly Cloudy
2003-12-31,9.871999999999996,Overcast
2004-01-01,11.058064516129033,Overcast
2004-01-02,-349.2892857142857,Mostly Cloudy
2004-01-03,7.066666666666666,Partly Cloudy
2004-01-04,6.340000000000002,Scattered Clouds
2004-01-05,8.07916666666667,Scattered Clouds
2004-01-06,8.833333333333336,Overcast
2004-01-07,11.72,Overcast
2004-01-08,12.59615384615385,Mostly Cloudy
2004-01-09,12.88529411764706,Light Rain
2004-01-10,12.256666666666662,Mostly Cloudy
2004-01-11,11.75,Mostly Cloudy
2004-01-12,10.15294117647059,Mostly Cloudy
2004-01-13,9.513888888888891,Patches of Fog
2004-01-14,9.12857142857143,Overcast
2004-01-15,10.670370370370366,Overcast
2004-01-16,11.08148148148148,Overcast
2004-01-17,10.495999999999997,Mostly Cloudy
2004-01-18,10.657692307692306,Scattered Clouds
2004-01-19,10.83333333333333,Overcast
2004-01-20,10.876923076923074,Overcast
2004-01-21,10.536000000000001,Clear
2004-01-22,9.583333333333334,Clear
2004-01-23,9.003703703703705,Mostly Cloudy
2004-01-24,10.493333333333332,Mostly Cloudy
2004-01-25,9.262500000000001,Mostly Cloudy
2004-01-26,10.22083333333333,Overcast
2004-01-27,11.546153846153848,Overcast
2004-01-28,10.060714285714285,Scattered Clouds
2004-01-29,10.579310344827586,Overcast
2004-01-30,10.972727272727274,Mostly Cloudy
2004-01-31,9.6375,Scattered Clouds
2004-02-01,9.2625,Overcast
2004-02-02,10.878124999999999,Overcast
2004-02-03,10.608823529411767,Mostly Cloudy
2004-02-04,10.65,Mostly Cloudy
2004-02-05,9.307692307692308,Partly Cloudy
2004-02-06,10.596153846153843,Mostly Cloudy
2004-02-07,9.929166666666667,Scattered Clouds
2004-02-08,9.145833333333332,Clear
2004-02-09,10.212499999999997,Clear
2004-02-10,11.858333333333329,Clear
2004-02-11,9.8125,Clear
2004-02-12,10.723999999999998,Clear
2004-02-13,11.5,Mostly Cloudy
2004-02-14,12.112499999999999,Mostly Cloudy
2004-02-15,12.288461538461538,Mostly Cloudy
2004-02-16,13.769999999999998,Overcast
2004-02-17,15.58484848484848,Overcast
2004-02-18,12.668750000000001,Scattered Clouds
2004-02-19,10.58333333333333,Overcast
2004-02-20,10.651999999999997,Mostly Cloudy
2004-02-21,10.399999999999997,Mostly Cloudy
2004-02-22,11.204000000000002,Mostly Cloudy
2004-02-23,11.599999999999998,Mostly Cloudy
2004-02-24,12.733333333333336,Mostly Cloudy
2004-02-25,13.183333333333332,Light Rain
2004-02-26,11.173076923076918,Mostly Cloudy
2004-02-27,10.049999999999999,Mostly Cloudy
2004-02-28,10.383333333333331,Scattered Clouds
2004-02-29,10.731034482758622,Mostly Cloudy
2004-03-01,10.63225806451613,Overcast
2004-03-02,13.035999999999994,Clear
2004-03-03,12.65217391304348,Clear
2004-03-04,11.737500000000002,Clear
2004-03-05,11.616666666666669,Mostly Cloudy
2004-03-06,11.896296296296297,Partly Cloudy
2004-03-07,13.012121212121214,Clear
2004-03-08,16.733333333333338,Clear
2004-03-09,16.444,Clear
2004-03-10,18.6375,Clear
2004-03-11,15.695833333333333,Partly Cloudy
2004-03-12,14.416666666666666,Clear
2004-03-13,14.608333333333334,Partly Cloudy
2004-03-14,15.15,Partly Cloudy
2004-03-15,18.658333333333328,Clear
2004-03-16,20.5125,Clear
2004-03-17,18.791666666666668,Clear
2004-03-18,15.349999999999996,Clear
2004-03-19,13.575000000000001,Scattered Clouds
2004-03-20,15.1875,Partly Cloudy
2004-03-21,13.328571428571426,Scattered Clouds
2004-03-22,12.981481481481481,Overcast
2004-03-23,12.71153846153846,Mostly Cloudy
